,Entity,Code,Year,Continent,Entity3,Year3,world-regions-according-to-the-united-nations,Entity2,Year2,WHO region,Entity1,Year1,World Region according to the World Bank
77,Eritrea and Ethiopia,OWID_ERE,2015.0,Africa,,,,,,,,,
78,Estonia,EST,2015.0,Europe,Estonia,2021.0,Europe and Northern America,Estonia,2020.0,Europe,Estonia,2017.0,Europe and Central Asia
79,Eswatini,SWZ,2015.0,Africa,Eswatini,2021.0,Sub-Saharan Africa,Eswatini,2020.0,Africa,Eswatini,2017.0,Sub-Saharan Africa
80,Ethiopia,ETH,2015.0,Africa,Ethiopia,2021.0,Sub-Saharan Africa,Ethiopia,2020.0,Africa,Ethiopia,2017.0,Sub-Saharan Africa
81,Faeroe Islands,FRO,2015.0,Europe,Faeroe Islands,2021.0,Europe and Northern America,,,,Faeroe Islands,2017.0,Europe and Central Asia
82,Falkland Islands,FLK,2015.0,South America,Falkland Islands,2021.0,Latin America and Caribbean,,,,,,
83,Fiji,FJI,2015.0,Oceania,Fiji,2021.0,Oceania,Fiji,2020.0,Western Pacific,Fiji,2017.0,East Asia and Pacific
84,Finland,FIN,2015.0,Europe,Finland,2021.0,Europe and Northern America,Finland,2020.0,Europe,Finland,2017.0,Europe and Central Asia
85,France,FRA,2015.0,Europe,France,2021.0,Europe and Northern America,France,2020.0,Europe,France,2017.0,Europe and Central Asia
86,French Guiana,GUF,2015.0,South America,French Guiana,2021.0,Latin America and Caribbean,,,,,,
87,French Polynesia,PYF,2015.0,Oceania,French Polynesia,2021.0,Oceania,,,,French Polynesia,2017.0,East Asia and Pacific
88,French Southern Territories,ATF,2015.0,Antarctica,,,,,,,,,
89,Gabon,GAB,2015.0,Africa,Gabon,2021.0,Sub-Saharan Africa,Gabon,2020.0,Africa,Gabon,2017.0,Sub-Saharan Africa
90,Gambia,GMB,2015.0,Africa,Gambia,2021.0,Sub-Saharan Africa,Gambia,2020.0,Africa,Gambia,2017.0,Sub-Saharan Africa
91,Georgia,GEO,2015.0,Asia,Georgia,2021.0,Northern Africa and Western Asia,Georgia,2020.0,Europe,Georgia,2017.0,Europe and Central Asia
92,Germany,DEU,2015.0,Europe,Germany,2021.0,Europe and Northern America,Germany,2020.0,Europe,Germany,2017.0,Europe and Central Asia
93,Ghana,GHA,2015.0,Africa,Ghana,2021.0,Sub-Saharan Africa,Ghana,2020.0,Africa,Ghana,2017.0,Sub-Saharan Africa
94,Gibraltar,GIB,2015.0,Europe,Gibraltar,2021.0,Europe and Northern America,,,,Gibraltar,2017.0,Europe and Central Asia
95,Greece,GRC,2015.0,Europe,Greece,2021.0,Europe and Northern America,Greece,2020.0,Europe,Greece,2017.0,Europe and Central Asia
96,Greenland,GRL,2015.0,North America,Greenland,2021.0,Europe and Northern America,,,,Greenland,2017.0,Europe and Central Asia
97,Grenada,GRD,2015.0,North America,Grenada,2021.0,Latin America and Caribbean,Grenada,2020.0,Americas,Grenada,2017.0,Latin America and Caribbean
98,Guadeloupe,GLP,2015.0,North America,Guadeloupe,2021.0,Latin America and Caribbean,,,,,,
99,Guam,GUM,2015.0,Oceania,Guam,2021.0,Oceania,,,,Guam,2017.0,East Asia and Pacific
100,Guatemala,GTM,2015.0,North America,Guatemala,2021.0,Latin America and Caribbean,Guatemala,2020.0,Americas,Guatemala,2017.0,Latin America and Caribbean
101,Guernsey,GGY,2015.0,Europe,,,,,,,,,
102,Guinea,GIN,2015.0,Africa,Guinea,2021.0,Sub-Saharan Africa,Guinea,2020.0,Africa,Guinea,2017.0,Sub-Saharan Africa
103,Guinea-Bissau,GNB,2015.0,Africa,Guinea-Bissau,2021.0,Sub-Saharan Africa,Guinea-Bissau,2020.0,Africa,Guinea-Bissau,2017.0,Sub-Saharan Africa
104,Guyana,GUY,2015.0,South America,Guyana,2021.0,Latin America and Caribbean,Guyana,2020.0,Americas,Guyana,2017.0,Latin America and Caribbean
105,Haiti,HTI,2015.0,North America,Haiti,2021.0,Latin America and Caribbean,Haiti,2020.0,Americas,Haiti,2017.0,Latin America and Caribbean
106,Hanover,OWID_HAN,2015.0,Europe,,,,,,,,,
107,Heard Island and McDonald Islands,HMD,2015.0,Antarctica,Heard Island and McDonald Islands,2021.0,Oceania,,,,,,
108,Hesse Electoral,OWID_HSE,2015.0,Europe,,,,,,,,,
109,Hesse Grand Ducal,OWID_HSG,2015.0,Europe,,,,,,,,,
110,Honduras,HND,2015.0,North America,Honduras,2021.0,Latin America and Caribbean,Honduras,2020.0,Americas,Honduras,2017.0,Latin America and Caribbean
111,Hong Kong,HKG,2015.0,Asia,Hong Kong,2021.0,Eastern and South-Eastern Asia,,,,Hong Kong,2017.0,East Asia and Pacific
112,Hungary,HUN,2015.0,Europe,Hungary,2021.0,Europe and Northern America,Hungary,2020.0,Europe,Hungary,2017.0,Europe and Central Asia
113,Iceland,ISL,2015.0,Europe,Iceland,2021.0,Europe and Northern America,Iceland,2020.0,Europe,Iceland,2017.0,Europe and Central Asia
114,India,IND,2015.0,Asia,India,2021.0,Central and Southern Asia,India,2020.0,South-East Asia,India,2017.0,South Asia
115,Indonesia,IDN,2015.0,Asia,Indonesia,2021.0,Eastern and South-Eastern Asia,Indonesia,2020.0,South-East Asia,Indonesia,2017.0,East Asia and Pacific
116,Iran,IRN,2015.0,Asia,Iran,2021.0,Central and Southern Asia,Iran,2020.0,Eastern Mediterranean,Iran,2017.0,Middle East and North Africa
117,Iraq,IRQ,2015.0,Asia,Iraq,2021.0,Northern Africa and Western Asia,Iraq,2020.0,Eastern Mediterranean,Iraq,2017.0,Middle East and North Africa
118,Ireland,IRL,2015.0,Europe,Ireland,2021.0,Europe and Northern America,Ireland,2020.0,Europe,Ireland,2017.0,Europe and Central Asia
119,Isle of Man,IMN,2015.0,Europe,Isle of Man,2021.0,Europe and Northern America,,,,Isle of Man,2017.0,Europe and Central Asia
120,Israel,ISR,2015.0,Asia,Israel,2021.0,Northern Africa and Western Asia,Israel,2020.0,Europe,Israel,2017.0,Middle East and North Africa
121,Italy,ITA,2015.0,Europe,Italy,2021.0,Europe and Northern America,Italy,2020.0,Europe,Italy,2017.0,Europe and Central Asia
