,Year,MSN,USA,US,d_USA
522,1961,JFTXB,826804.0,826805.0,-1.0
523,1961,JFTXP,151620.0,151623.0,-3.0
525,1961,KSCCP,8265.0,8266.0,-1.0
526,1961,KSICB,132729.0,132730.0,-1.0
527,1961,KSICP,23410.0,23409.0,1.0
528,1961,KSRCB,371798.0,371796.0,2.0
529,1961,KSRCP,65572.0,65572.0,0.0
530,1961,KSTCB,551394.0,551396.0,-2.0
531,1961,KSTCP,97248.0,97248.0,0.0
532,1961,KSTXB,551394.0,551396.0,-2.0
533,1961,KSTXP,97248.0,97248.0,0.0
534,1961,LOACB,25068.0,25068.0,0.0
535,1961,LOCCB,1390763.0,1390766.0,-3.0
537,1961,LORCB,1779057.0,1779055.0,2.0
538,1961,LOTCB,5988373.0,5988378.0,-5.0
539,1961,LOTXB,5988373.0,5988378.0,-5.0
540,1961,LUACB,147798.0,147797.0,1.0
542,1961,LUICB,104104.0,104107.0,-3.0
543,1961,LUICP,17168.0,17165.0,3.0
544,1961,LUTCB,251904.0,251904.0,0.0
545,1961,LUTCP,41536.0,41534.0,2.0
546,1961,LUTXB,251904.0,251904.0,0.0
547,1961,LUTXP,41536.0,41534.0,2.0
551,1961,MGACB,7317982.0,7317983.0,-1.0
553,1961,MGCCB,69369.0,69372.0,-3.0
555,1961,MGICB,364216.0,364213.0,3.0
556,1961,MGICP,69336.0,69334.0,2.0
557,1961,MGTCB,7751566.0,7751568.0,-2.0
560,1961,MGTXB,7751566.0,7751568.0,-2.0
562,1961,MMTCB,7751566.0,7751568.0,-2.0
563,1961,MSICB,163121.0,163123.0,-2.0
567,1961,NCPRB,1657467.0,1657465.0,2.0
568,1961,NGACB,390823.0,390823.0,0.0
570,1961,NGCCB,1114541.0,1114539.0,2.0
572,1961,NGEIB,1888994.0,1888996.0,-2.0
574,1961,NGEIP,1825116.0,1825117.0,-1.0
575,1961,NGICB,6169757.0,6169756.0,1.0
576,1961,NGICP,5961118.0,5961117.0,1.0
577,1961,NGLPB,1333865.0,1333869.0,-4.0
578,1961,NGMPB,14656004.0,14656001.0,3.0
579,1961,NGMPK,33.787000000000006,1.106,32.681000000000004
581,1961,NGPZB,390823.0,390823.0,0.0
582,1961,NGRCB,3362279.0,3362278.0,1.0
584,1961,NGTCB,12926391.0,12926392.0,-1.0
587,1961,NGTPB,3386.6,70.4,3316.2
588,1961,NGTPP,3271.6000000000004,68.0,3203.6000000000004
589,1961,NGTXB,11037395.0,11037397.0,-2.0
591,1961,NGTXP,10664152.0,10664151.0,1.0
592,1961,NNTCB,12926391.0,12926392.0,-1.0
593,1961,NUEGB,19678.0,19678.0,0.0
595,1961,NUETB,19678.0,19678.0,0.0
599,1961,OPICP,160070.0,160071.0,-1.0
601,1961,OPTCP,160070.0,160071.0,-1.0
603,1961,OPTXP,160070.0,160071.0,-1.0
604,1961,P1ICB,2347460.0,2347456.0,4.0
605,1961,P1ICP,381333.0,381334.0,-1.0
606,1961,P1TCB,3204313.0,3204314.0,-1.0
607,1961,P1TCP,537070.0,537069.0,1.0
608,1961,P1TXB,3204313.0,3204314.0,-1.0
609,1961,P1TXP,537070.0,537069.0,1.0
610,1961,PAACB,10324000.0,10324003.0,-3.0
611,1961,PAACK,0.0,5.386,-5.386
612,1961,PAACP,1916897.0,1916901.0,-4.0
613,1961,PACCB,1268594.0,1268593.0,1.0
614,1961,PACCK,0.0,5.779,-5.779
616,1961,PAEIB,557281.0,557278.0,3.0
617,1961,PAEIK,0.0,6.268,-6.268
618,1961,PAEIP,88911.0,88912.0,-1.0
619,1961,PAICB,5724907.0,5724904.0,3.0
620,1961,PAICK,0.0,5.766,-5.766
621,1961,PAICP,992835.0,992838.0,-3.0
624,1961,PARCB,2293265.0,2293262.0,3.0
625,1961,PARCK,0.0,5.42,-5.42
626,1961,PARCP,423101.0,423099.0,2.0
628,1961,PATCK,0.0,5.539,-5.539
630,1961,PATPB,6204.9,109.8,6095.099999999999
631,1961,PATPP,1123.1,19.8,1103.3
632,1961,PATXB,19610763.0,19610762.0,1.0
633,1961,PATXP,3552369.0,3552368.0,1.0
639,1961,PCICB,404417.0,404415.0,2.0
640,1961,PCICP,67133.0,67134.0,-1.0
643,1961,PCTCB,404417.0,404415.0,2.0
644,1961,PCTCP,67133.0,67134.0,-1.0
645,1961,PCTXB,404417.0,404415.0,2.0
646,1961,PCTXP,67133.0,67134.0,-1.0
654,1961,REPRB,2952228.0,2952227.0,1.0
655,1961,RETCB,2952228.0,2952227.0,1.0
