,StateCode,Year,MSN,Data
506,MS,2006,Solar,9.0
507,MS,2007,Solar,11.0
508,MS,2008,Solar,12.0
509,MS,2009,Solar,12.0
510,MS,2010,Solar,13.0
511,MS,2011,Solar,17.0
512,MS,2012,Solar,18.0
513,MS,2013,Solar,34.0
514,MS,2014,Solar,35.0
515,MS,2015,Solar,29.0
516,MS,2016,Solar,73.0
517,MS,2017,Solar,903.0
518,MS,2018,Solar,3080.0
519,MS,2019,Solar,3007.0
520,MT,2000,Solar,3.0
521,MT,2001,Solar,3.0
522,MT,2002,Solar,3.0
523,MT,2003,Solar,4.0
524,MT,2004,Solar,4.0
525,MT,2005,Solar,5.0
526,MT,2006,Solar,15.0
527,MT,2007,Solar,23.0
528,MT,2008,Solar,33.0
529,MT,2009,Solar,31.0
530,MT,2010,Solar,33.0
531,MT,2011,Solar,32.0
532,MT,2012,Solar,86.0
533,MT,2013,Solar,115.0
534,MT,2014,Solar,117.0
535,MT,2015,Solar,85.0
536,MT,2016,Solar,110.0
537,MT,2017,Solar,275.0
538,MT,2018,Solar,497.0
539,MT,2019,Solar,489.0
540,NC,2000,Solar,127.0
541,NC,2001,Solar,111.0
542,NC,2002,Solar,100.0
543,NC,2003,Solar,85.0
544,NC,2004,Solar,89.0
545,NC,2005,Solar,116.0
546,NC,2006,Solar,160.0
547,NC,2007,Solar,176.0
548,NC,2008,Solar,269.0
549,NC,2009,Solar,343.0
550,NC,2010,Solar,429.0
551,NC,2011,Solar,582.0
552,NC,2012,Solar,1974.0
553,NC,2013,Solar,4155.0
554,NC,2014,Solar,7898.0
555,NC,2015,Solar,13870.0
556,NC,2016,Solar,33397.0
557,NC,2017,Solar,49099.0
558,NC,2018,Solar,57834.0
559,NC,2019,Solar,69062.0
560,ND,2000,Solar,1.0
561,ND,2001,Solar,1.0
562,ND,2002,Solar,1.0
563,ND,2003,Solar,1.0
564,ND,2004,Solar,1.0
565,ND,2005,Solar,2.0
566,ND,2006,Solar,3.0
567,ND,2007,Solar,3.0
568,ND,2008,Solar,3.0
569,ND,2009,Solar,4.0
570,ND,2010,Solar,4.0
571,ND,2011,Solar,4.0
572,ND,2012,Solar,6.0
573,ND,2013,Solar,7.0
574,ND,2014,Solar,7.0
575,ND,2015,Solar,7.0
576,ND,2016,Solar,7.0
577,ND,2017,Solar,7.0
578,ND,2018,Solar,8.0
579,ND,2019,Solar,11.0
580,NE,2000,Solar,14.0
